meter_reading,timestamp,air_temperature,dew_temperature,sea_level_pressure,wind_direction,wind_speed,month,day,hour
539.0,2016-01-02 00:00:00,2.8,-6.1,1016.8,280.0,3.6,1,2,0
491.0,2016-01-02 01:00:00,2.2,-6.7,1017.5,290.0,3.1,1,2,1
520.0,2016-01-02 02:00:00,1.1,-6.7,1017.9,280.0,3.1,1,2,2
522.0,2016-01-02 03:00:00,1.1,-8.3,1017.7,270.0,2.1,1,2,3
450.0,2016-01-02 04:00:00,0.6,-8.9,1017.9,300.0,3.6,1,2,4
503.0,2016-01-02 05:00:00,-0.6,-8.3,1018.1,240.0,1.5,1,2,5
464.0,2016-01-02 06:00:00,0.0,-7.8,1017.8,270.0,3.1,1,2,6
503.0,2016-01-02 07:00:00,0.6,-7.8,1018.0,280.0,3.6,1,2,7
485.0,2016-01-02 08:00:00,0.6,-8.9,1017.8,320.0,2.1,1,2,8
505.0,2016-01-02 09:00:00,0.6,-10.0,1017.7,300.0,3.1,1,2,9
486.0,2016-01-02 10:00:00,0.0,-10.0,1017.8,300.0,3.1,1,2,10
481.0,2016-01-02 11:00:00,0.6,-10.0,1018.0,310.0,1.5,1,2,11
524.0,2016-01-02 12:00:00,0.0,-9.4,1018.4,270.0,1.5,1,2,12
463.0,2016-01-02 13:00:00,0.0,-8.9,1018.9,270.0,1.5,1,2,13
514.0,2016-01-02 14:00:00,1.1,-6.7,1019.0,186.1476210473924,2.6,1,2,14
485.0,2016-01-02 15:00:00,1.7,-7.2,1019.5,260.0,4.6,1,2,15
527.0,2016-01-02 16:00:00,2.2,-7.2,1019.2,270.0,4.1,1,2,16
477.0,2016-01-02 17:00:00,3.3,-6.7,1018.0,310.0,4.6,1,2,17
549.0,2016-01-02 18:00:00,4.4,-6.7,1016.4,280.0,4.6,1,2,18
493.0,2016-01-02 19:00:00,5.0,-6.1,1015.7,270.0,4.1,1,2,19
540.0,2016-01-02 20:00:00,4.4,-6.1,1015.5,270.0,4.1,1,2,20
533.0,2016-01-02 21:00:00,3.9,-6.1,1015.5,300.0,4.1,1,2,21
560.0,2016-01-02 22:00:00,3.9,-6.1,1015.8,310.0,2.6,1,2,22
531.0,2016-01-02 23:00:00,2.8,-6.1,1015.8,300.0,1.5,1,2,23
540.0,2016-01-03 00:00:00,1.1,-6.1,1016.3,0.0,0.0,1,3,0
518.0,2016-01-03 01:00:00,1.1,-5.6,1015.9,0.0,0.0,1,3,1
550.0,2016-01-03 02:00:00,0.0,-6.1,1015.8,0.0,0.0,1,3,2
499.0,2016-01-03 03:00:00,-1.1,-6.1,1015.3,300.0,2.1,1,3,3
536.0,2016-01-03 04:00:00,-0.6,-5.6,1015.2,270.0,1.5,1,3,4
509.0,2016-01-03 05:00:00,-1.7,-6.1,1014.5,0.0,0.0,1,3,5
471.0,2016-01-03 06:00:00,-2.2,-6.1,1013.8,0.0,0.0,1,3,6
437.0,2016-01-03 07:00:00,-2.2,-5.6,1013.1,230.0,2.1,1,3,7
464.0,2016-01-03 08:00:00,-2.8,-5.0,1012.6,230.0,1.5,1,3,8
444.0,2016-01-03 09:00:00,-3.3,-6.1,1011.3,200.0,2.6,1,3,9
444.0,2016-01-03 10:00:00,-1.7,-5.0,1011.2,250.0,2.1,1,3,10
464.0,2016-01-03 11:00:00,-2.8,-6.1,1010.8,190.0,1.5,1,3,11
455.0,2016-01-03 12:00:00,-2.2,-5.0,1011.1,190.0,1.5,1,3,12
525.0,2016-01-03 13:00:00,-1.7,-4.4,1011.0,230.0,2.1,1,3,13
529.0,2016-01-03 14:00:00,1.1,-3.3,1011.3,220.0,3.1,1,3,14
506.0,2016-01-03 15:00:00,5.0,-3.3,1011.2,230.0,4.1,1,3,15
559.0,2016-01-03 16:00:00,7.2,-5.0,1010.3,260.0,6.2,1,3,16
517.0,2016-01-03 17:00:00,7.8,-5.6,1009.5,280.0,5.1,1,3,17
544.0,2016-01-03 18:00:00,8.3,-5.6,1008.9,300.0,5.7,1,3,18
492.0,2016-01-03 19:00:00,7.8,-5.0,1009.5,300.0,6.2,1,3,19
535.0,2016-01-03 20:00:00,6.7,-5.0,1009.6,330.0,5.1,1,3,20
504.0,2016-01-03 21:00:00,5.6,-5.0,1010.6,300.0,6.7,1,3,21
529.0,2016-01-03 22:00:00,3.9,-5.6,1011.2,320.0,2.6,1,3,22
518.0,2016-01-03 23:00:00,3.3,-5.6,1011.7,320.0,3.1,1,3,23
519.0,2016-01-04 00:00:00,2.8,-5.6,1012.4,270.0,2.1,1,4,0
499.0,2016-01-04 01:00:00,2.2,-5.0,1012.4,280.0,2.1,1,4,1
537.0,2016-01-04 02:00:00,1.7,-5.0,1012.3,270.0,2.6,1,4,2
518.0,2016-01-04 03:00:00,1.7,-5.0,1012.5,290.0,2.1,1,4,3
546.0,2016-01-04 04:00:00,1.1,-5.0,1012.3,290.0,2.1,1,4,4
469.0,2016-01-04 05:00:00,0.6,-4.4,1012.3,280.0,2.1,1,4,5
484.0,2016-01-04 06:00:00,0.6,-4.4,1011.8,280.0,2.6,1,4,6
474.0,2016-01-04 07:00:00,0.0,-5.0,1011.9,300.0,2.6,1,4,7
461.0,2016-01-04 08:00:00,-0.6,-5.0,1012.2,330.0,1.5,1,4,8
495.0,2016-01-04 09:00:00,0.6,-5.0,1012.3,340.0,4.1,1,4,9
489.0,2016-01-04 10:00:00,0.6,-6.7,1012.8,350.0,5.1,1,4,10
475.0,2016-01-04 11:00:00,-1.7,-10.0,1014.2,360.0,5.7,1,4,11
428.0,2016-01-04 12:00:00,-2.8,-11.1,1015.4,360.0,4.6,1,4,12
472.0,2016-01-04 13:00:00,-2.8,-11.7,1016.0,350.0,5.7,1,4,13
442.0,2016-01-04 14:00:00,-2.2,-12.2,1016.9,340.0,4.1,1,4,14
475.0,2016-01-04 15:00:00,-1.7,-12.2,1017.6,360.0,5.7,1,4,15
463.0,2016-01-04 16:00:00,-1.7,-13.9,1017.4,360.0,6.7,1,4,16
421.0,2016-01-04 17:00:00,-1.1,-14.4,1017.1,350.0,7.7,1,4,17
463.0,2016-01-04 18:00:00,-0.6,-15.0,1016.9,330.0,5.7,1,4,18
441.0,2016-01-04 19:00:00,-1.7,-16.1,1016.9,360.0,8.2,1,4,19
488.0,2016-01-04 20:00:00,-2.2,-16.1,1017.8,340.0,7.2,1,4,20
441.0,2016-01-04 21:00:00,-3.3,-17.2,1019.1,340.0,7.7,1,4,21
495.0,2016-01-04 22:00:00,-5.0,-17.8,1020.6,340.0,7.2,1,4,22
439.0,2016-01-04 23:00:00,-6.1,-17.8,1022.1,340.0,5.7,1,4,23
499.0,2016-01-05 00:00:00,-7.2,-17.8,1023.8,350.0,6.2,1,5,0
501.0,2016-01-05 01:00:00,-8.3,-18.3,1025.2,350.0,8.8,1,5,1
473.0,2016-01-05 02:00:00,-9.4,-18.3,1026.0,360.0,9.3,1,5,2
470.0,2016-01-05 03:00:00,-10.0,-18.3,1027.1,350.0,6.7,1,5,3
486.0,2016-01-05 04:00:00,-11.1,-18.9,1028.0,350.0,5.7,1,5,4
489.0,2016-01-05 05:00:00,-11.7,-18.9,1028.5,340.0,6.2,1,5,5
462.0,2016-01-05 06:00:00,-11.7,-18.9,1029.2,340.0,4.6,1,5,6
454.0,2016-01-05 07:00:00,-11.7,-19.4,1030.3,350.0,6.2,1,5,7
502.0,2016-01-05 08:00:00,-12.2,-19.4,1031.1,360.0,5.1,1,5,8
491.0,2016-01-05 09:00:00,-12.2,-20.0,1031.5,360.0,6.2,1,5,9
442.0,2016-01-05 10:00:00,-12.8,-20.0,1031.9,350.0,5.7,1,5,10
474.0,2016-01-05 11:00:00,-12.8,-20.0,1032.3,10.0,5.7,1,5,11
476.0,2016-01-05 12:00:00,-12.2,-20.0,1033.5,360.0,3.6,1,5,12
451.0,2016-01-05 13:00:00,-12.2,-20.0,1034.6,350.0,4.1,1,5,13
493.0,2016-01-05 14:00:00,-10.0,-20.0,1035.4,360.0,4.6,1,5,14
472.0,2016-01-05 15:00:00,-8.3,-20.0,1036.2,340.0,3.1,1,5,15
497.0,2016-01-05 16:00:00,-6.7,-20.0,1036.5,360.0,4.6,1,5,16
485.0,2016-01-05 17:00:00,-5.0,-20.6,1035.9,340.0,2.6,1,5,17
463.0,2016-01-05 18:00:00,-3.3,-19.4,1035.7,350.0,4.1,1,5,18
510.0,2016-01-05 19:00:00,-1.7,-19.4,1035.1,350.0,3.6,1,5,19
467.0,2016-01-05 20:00:00,-1.1,-20.6,1035.1,330.0,2.6,1,5,20
499.0,2016-01-05 21:00:00,-1.1,-19.4,1035.6,350.0,2.6,1,5,21
501.0,2016-01-05 22:00:00,-2.2,-18.9,1035.8,0.0,0.0,1,5,22
461.0,2016-01-05 23:00:00,-3.3,-17.8,1036.4,0.0,0.0,1,5,23
485.0,2016-01-06 00:00:00,-3.9,-16.7,1036.5,0.0,0.0,1,6,0
483.0,2016-01-06 01:00:00,-6.1,-16.1,1036.7,0.0,0.0,1,6,1
487.0,2016-01-06 02:00:00,-6.1,-15.6,1036.7,270.0,1.5,1,6,2
494.0,2016-01-06 03:00:00,-7.8,-14.4,1036.5,0.0,0.0,1,6,3
507.0,2016-01-06 04:00:00,-7.2,-15.0,1036.3,0.0,0.0,1,6,4
466.0,2016-01-06 05:00:00,-8.9,-14.4,1036.0,0.0,0.0,1,6,5
472.0,2016-01-06 06:00:00,-9.4,-13.9,1035.6,0.0,0.0,1,6,6
484.0,2016-01-06 07:00:00,-8.9,-13.9,1035.6,320.0,2.1,1,6,7
459.0,2016-01-06 08:00:00,-10.0,-14.4,1035.1,0.0,0.0,1,6,8
455.0,2016-01-06 09:00:00,-11.1,-13.9,1035.0,240.0,2.1,1,6,9
475.0,2016-01-06 10:00:00,-10.0,-13.9,1034.9,0.0,0.0,1,6,10
465.0,2016-01-06 11:00:00,-10.6,-13.9,1035.4,0.0,0.0,1,6,11
437.0,2016-01-06 12:00:00,-10.6,-13.9,1035.7,0.0,0.0,1,6,12
453.0,2016-01-06 13:00:00,-10.6,-12.8,1035.6,0.0,0.0,1,6,13
453.0,2016-01-06 14:00:00,-6.7,-9.4,1035.6,0.0,0.0,1,6,14
459.0,2016-01-06 15:00:00,-3.3,-11.1,1035.9,250.0,2.1,1,6,15
467.0,2016-01-06 16:00:00,-0.6,-10.6,1035.5,240.0,2.1,1,6,16
496.0,2016-01-06 17:00:00,1.7,-12.8,1033.4,330.0,1.5,1,6,17
468.0,2016-01-06 18:00:00,2.8,-13.9,1032.5,310.0,1.5,1,6,18
458.0,2016-01-06 19:00:00,3.9,-15.6,1031.4,200.0,2.6,1,6,19
535.0,2016-01-06 20:00:00,4.4,-16.7,1031.1,220.0,2.6,1,6,20
501.0,2016-01-06 21:00:00,3.3,-15.6,1031.0,200.0,2.6,1,6,21
530.0,2016-01-06 22:00:00,2.2,-15.6,1030.6,220.0,2.1,1,6,22
523.0,2016-01-06 23:00:00,1.1,-15.6,1030.5,210.0,1.5,1,6,23
460.0,2016-01-07 00:00:00,0.6,-15.0,1030.6,230.0,1.5,1,7,0
482.0,2016-01-07 01:00:00,0.0,-13.9,1030.9,230.0,2.1,1,7,1
499.0,2016-01-07 02:00:00,-2.2,-13.3,1030.6,0.0,0.0,1,7,2
482.0,2016-01-07 03:00:00,-2.8,-12.8,1030.1,230.0,2.1,1,7,3
466.0,2016-01-07 04:00:00,-3.3,-12.2,1029.8,0.0,0.0,1,7,4
487.0,2016-01-07 05:00:00,-5.0,-11.7,1029.1,360.0,1.5,1,7,5
484.0,2016-01-07 06:00:00,-4.4,-11.7,1028.5,0.0,0.0,1,7,6
454.0,2016-01-07 07:00:00,-6.1,-11.7,1028.3,0.0,0.0,1,7,7
500.0,2016-01-07 08:00:00,-5.6,-11.1,1028.1,0.0,0.0,1,7,8
448.0,2016-01-07 09:00:00,-5.0,-10.6,1027.2,340.0,3.1,1,7,9
493.0,2016-01-07 10:00:00,-4.4,-9.4,1027.4,0.0,0.0,1,7,10
494.0,2016-01-07 11:00:00,-5.0,-10.0,1027.2,0.0,0.0,1,7,11
448.0,2016-01-07 12:00:00,-5.0,-10.6,1027.3,0.0,0.0,1,7,12
498.0,2016-01-07 13:00:00,-5.0,-8.9,1027.2,210.0,1.5,1,7,13
502.0,2016-01-07 14:00:00,-2.2,-8.9,1026.7,0.0,0.0,1,7,14
461.0,2016-01-07 15:00:00,1.1,-9.4,1026.6,0.0,0.0,1,7,15
498.0,2016-01-07 16:00:00,2.2,-10.6,1026.4,160.0,1.5,1,7,16
521.0,2016-01-07 17:00:00,3.9,-11.7,1025.0,0.0,0.0,1,7,17
571.0,2016-01-07 18:00:00,5.6,-6.7,1024.0,0.0,0.0,1,7,18
543.0,2016-01-07 19:00:00,7.2,-5.0,1023.5,340.0,1.5,1,7,19
506.0,2016-01-07 20:00:00,7.2,-2.8,1023.3,0.0,0.0,1,7,20
573.0,2016-01-07 21:00:00,7.2,-2.8,1023.0,190.0,2.1,1,7,21
590.0,2016-01-07 22:00:00,6.7,-1.1,1023.4,0.0,0.0,1,7,22
569.0,2016-01-07 23:00:00,6.1,-0.6,1023.7,0.0,0.0,1,7,23
566.0,2016-01-08 00:00:00,6.1,-2.2,1023.5,0.0,0.0,1,8,0
562.0,2016-01-08 01:00:00,5.6,-1.7,1023.3,0.0,0.0,1,8,1
571.0,2016-01-08 02:00:00,3.9,-2.8,1022.7,360.0,2.1,1,8,2
517.0,2016-01-08 03:00:00,2.2,-3.9,1022.2,10.0,2.1,1,8,3
489.0,2016-01-08 04:00:00,0.0,-4.4,1021.6,330.0,2.1,1,8,4
539.0,2016-01-08 05:00:00,0.0,-3.9,1021.1,340.0,1.5,1,8,5
555.0,2016-01-08 06:00:00,0.0,-4.4,1020.4,0.0,0.0,1,8,6
528.0,2016-01-08 07:00:00,1.1,-2.8,1021.1,0.0,0.0,1,8,7
517.0,2016-01-08 08:00:00,2.2,-2.2,1022.0,0.0,0.0,1,8,8
553.0,2016-01-08 09:00:00,2.8,-1.1,1020.7,30.0,2.6,1,8,9
533.0,2016-01-08 10:00:00,2.2,-1.1,1021.1,350.0,2.6,1,8,10
512.0,2016-01-08 11:00:00,2.8,-0.6,1021.8,20.0,1.5,1,8,11
551.0,2016-01-08 12:00:00,2.2,-4.4,1021.8,20.0,2.6,1,8,12
542.0,2016-01-08 13:00:00,2.2,-4.4,1021.6,20.0,2.1,1,8,13
525.0,2016-01-08 14:00:00,2.2,-6.7,1022.2,40.0,3.6,1,8,14
515.0,2016-01-08 15:00:00,2.8,-7.2,1022.4,60.0,4.1,1,8,15
554.0,2016-01-08 16:00:00,3.9,-5.6,1022.4,70.0,3.1,1,8,16
544.0,2016-01-08 17:00:00,5.0,-4.4,1021.7,70.0,4.1,1,8,17
539.0,2016-01-08 18:00:00,6.7,-2.2,1021.0,80.0,4.6,1,8,18
508.0,2016-01-08 19:00:00,6.1,-1.1,1020.4,60.0,3.1,1,8,19
546.0,2016-01-08 20:00:00,6.7,-0.6,1020.6,60.0,3.1,1,8,20
553.0,2016-01-08 21:00:00,6.1,0.6,1020.3,80.0,3.1,1,8,21
548.0,2016-01-08 22:00:00,6.1,1.1,1020.9,80.0,2.6,1,8,22
0.0,2016-01-08 23:00:00,5.6,1.1,1021.3,60.0,2.1,1,8,23
0.0,2016-01-09 00:00:00,5.6,0.6,1021.4,30.0,2.6,1,9,0
0.0,2016-01-09 01:00:00,5.0,0.6,1020.9,40.0,4.1,1,9,1
0.0,2016-01-09 02:00:00,5.0,1.1,1021.4,60.0,3.6,1,9,2
533.0,2016-01-09 03:00:00,4.4,1.1,1021.0,80.0,3.6,1,9,3
516.0,2016-01-09 04:00:00,5.0,1.7,1020.8,80.0,2.6,1,9,4
503.0,2016-01-09 05:00:00,5.0,1.7,1020.9,40.0,3.1,1,9,5
519.0,2016-01-09 06:00:00,4.4,1.1,1020.3,70.0,3.1,1,9,6
538.0,2016-01-09 07:00:00,5.0,1.7,1020.3,60.0,4.6,1,9,7
528.0,2016-01-09 08:00:00,5.6,1.7,1020.7,50.0,3.1,1,9,8
525.0,2016-01-09 09:00:00,5.0,1.1,1020.0,70.0,4.1,1,9,9
505.0,2016-01-09 10:00:00,5.0,1.1,1019.9,50.0,4.1,1,9,10
495.0,2016-01-09 11:00:00,4.4,1.1,1020.2,20.0,1.5,1,9,11
545.0,2016-01-09 12:00:00,4.4,1.1,1020.4,40.0,1.5,1,9,12
531.0,2016-01-09 13:00:00,4.4,1.1,1020.2,50.0,3.6,1,9,13
520.0,2016-01-09 14:00:00,5.0,1.7,1021.2,40.0,2.6,1,9,14
511.0,2016-01-09 15:00:00,6.1,2.8,1021.5,70.0,4.6,1,9,15
506.0,2016-01-09 16:00:00,7.2,3.3,1021.4,80.0,3.6,1,9,16
503.0,2016-01-09 17:00:00,8.3,5.0,1020.6,90.0,3.6,1,9,17
504.0,2016-01-09 18:00:00,9.4,5.6,1019.3,90.0,4.6,1,9,18
513.0,2016-01-09 19:00:00,9.4,6.1,1019.1,70.0,3.1,1,9,19
538.0,2016-01-09 20:00:00,8.9,6.1,1018.9,90.0,3.1,1,9,20
543.0,2016-01-09 21:00:00,8.3,6.1,1018.8,100.0,2.6,1,9,21
542.0,2016-01-09 22:00:00,8.3,6.7,1018.9,80.0,4.1,1,9,22
559.0,2016-01-09 23:00:00,8.3,7.2,1019.5,100.0,2.1,1,9,23
559.0,2016-01-10 00:00:00,8.3,7.2,1019.3,80.0,3.1,1,10,0
569.0,2016-01-10 01:00:00,8.3,7.2,1018.9,80.0,4.6,1,10,1
581.0,2016-01-10 02:00:00,7.8,6.7,1017.8,70.0,4.6,1,10,2
559.0,2016-01-10 03:00:00,7.8,7.2,1016.8,70.0,5.1,1,10,3
575.0,2016-01-10 04:00:00,7.8,7.2,1016.5,80.0,4.1,1,10,4
591.0,2016-01-10 05:00:00,8.3,7.2,1014.6,70.0,5.1,1,10,5
585.0,2016-01-10 06:00:00,8.9,7.8,1012.9,80.0,4.6,1,10,6
580.0,2016-01-10 07:00:00,9.4,8.9,1011.0,70.0,7.7,1,10,7
586.0,2016-01-10 08:00:00,9.4,8.9,1009.0,70.0,7.7,1,10,8
583.0,2016-01-10 09:00:00,9.4,8.3,1016.2941885647716,70.0,6.7,1,10,9
572.0,2016-01-10 10:00:00,10.0,9.4,1004.9,80.0,6.7,1,10,10
582.0,2016-01-10 11:00:00,11.1,10.0,1003.0,80.0,6.7,1,10,11
574.0,2016-01-10 12:00:00,10.6,10.6,1001.4,60.0,3.6,1,10,12
576.0,2016-01-10 13:00:00,12.8,12.2,999.9,120.0,3.6,1,10,13
580.0,2016-01-10 14:00:00,14.4,13.9,998.8,170.0,5.7,1,10,14
562.0,2016-01-10 15:00:00,15.6,14.4,998.2,190.0,5.7,1,10,15
565.0,2016-01-10 16:00:00,16.1,14.4,996.6,170.0,5.1,1,10,16
569.0,2016-01-10 17:00:00,16.1,14.4,995.2,190.0,5.1,1,10,17
565.0,2016-01-10 18:00:00,17.2,14.4,992.9,190.0,7.2,1,10,18
548.0,2016-01-10 19:00:00,17.8,12.8,1016.2941885647716,210.0,8.2,1,10,19
521.0,2016-01-10 20:00:00,17.2,10.6,991.7,230.0,9.8,1,10,20
556.0,2016-01-10 21:00:00,13.9,7.2,993.0,270.0,5.7,1,10,21
509.0,2016-01-10 22:00:00,13.3,6.7,993.7,250.0,3.6,1,10,22
525.0,2016-01-10 23:00:00,12.2,5.6,995.4,280.0,9.8,1,10,23
523.0,2016-01-11 00:00:00,10.0,5.0,996.6,260.0,6.7,1,11,0
537.0,2016-01-11 01:00:00,7.8,-1.1,998.6,290.0,7.7,1,11,1
506.0,2016-01-11 02:00:00,5.6,-3.3,1000.6,270.0,8.2,1,11,2
547.0,2016-01-11 03:00:00,5.0,-3.9,1001.9,280.0,9.3,1,11,3
541.0,2016-01-11 04:00:00,3.3,-5.6,1003.4,270.0,8.2,1,11,4
502.0,2016-01-11 05:00:00,3.3,-6.1,1004.3,280.0,8.8,1,11,5
537.0,2016-01-11 06:00:00,2.2,-7.8,1005.3,280.0,9.3,1,11,6
519.0,2016-01-11 07:00:00,1.7,-9.4,1006.7,300.0,6.7,1,11,7
491.0,2016-01-11 08:00:00,0.6,-10.0,1007.8,290.0,6.2,1,11,8
499.0,2016-01-11 09:00:00,0.0,-9.4,1009.1,290.0,3.6,1,11,9
491.0,2016-01-11 10:00:00,-1.1,-11.7,1010.0,280.0,5.1,1,11,10
521.0,2016-01-11 11:00:00,-1.1,-12.2,1011.0,290.0,5.1,1,11,11
516.0,2016-01-11 12:00:00,-2.2,-11.7,1012.1,260.0,4.1,1,11,12
526.0,2016-01-11 13:00:00,-2.8,-12.8,1013.2,270.0,5.7,1,11,13
512.0,2016-01-11 14:00:00,-2.2,-12.8,1014.5,280.0,6.2,1,11,14
534.0,2016-01-11 15:00:00,-1.7,-13.9,1015.2,270.0,6.2,1,11,15
508.0,2016-01-11 16:00:00,-1.1,-13.3,1015.3,270.0,7.7,1,11,16
544.0,2016-01-11 17:00:00,-0.6,-13.9,1014.8,270.0,8.2,1,11,17
515.0,2016-01-11 18:00:00,0.0,-12.8,1014.2,270.0,6.7,1,11,18
501.0,2016-01-11 19:00:00,0.6,-15.6,1014.2,270.0,7.2,1,11,19
499.0,2016-01-11 20:00:00,0.0,-16.7,1014.7,280.0,5.7,1,11,20
504.0,2016-01-11 21:00:00,0.0,-15.6,1015.5,290.0,3.6,1,11,21
496.0,2016-01-11 22:00:00,-1.1,-15.6,1016.7,270.0,4.6,1,11,22
529.0,2016-01-11 23:00:00,-1.1,-16.1,1017.9,280.0,3.6,1,11,23
484.0,2016-01-12 00:00:00,-2.2,-15.6,1018.2,320.0,2.1,1,12,0
515.0,2016-01-12 01:00:00,-3.3,-16.1,1019.0,300.0,2.1,1,12,1
484.0,2016-01-12 02:00:00,-4.4,-15.0,1019.2,0.0,0.0,1,12,2
483.0,2016-01-12 03:00:00,-5.6,-13.9,1019.2,230.0,1.5,1,12,3
460.0,2016-01-12 04:00:00,-5.6,-13.3,1019.1,0.0,0.0,1,12,4
466.0,2016-01-12 05:00:00,-6.1,-12.2,1019.0,0.0,0.0,1,12,5
433.0,2016-01-12 06:00:00,-7.2,-12.2,1018.8,0.0,0.0,1,12,6
473.0,2016-01-12 07:00:00,-7.2,-11.7,1018.7,0.0,0.0,1,12,7
454.0,2016-01-12 08:00:00,-7.8,-12.2,1018.8,0.0,0.0,1,12,8
458.0,2016-01-12 09:00:00,-8.9,-12.2,1018.4,340.0,2.1,1,12,9
481.0,2016-01-12 10:00:00,-8.9,-11.7,1017.5,110.0,1.5,1,12,10
448.0,2016-01-12 11:00:00,-7.2,-11.7,1016.6,110.0,1.5,1,12,11
432.0,2016-01-12 12:00:00,-6.7,-11.7,1015.8,0.0,0.0,1,12,12
369.0,2016-01-12 13:00:00,-6.1,-11.1,1014.8,0.0,0.0,1,12,13
402.0,2016-01-12 14:00:00,-3.3,-10.6,1014.3,0.0,0.0,1,12,14
397.0,2016-01-12 15:00:00,-1.1,-10.0,1013.3,170.0,2.6,1,12,15
442.0,2016-01-12 16:00:00,1.7,-7.2,1011.4,170.0,5.1,1,12,16
399.0,2016-01-12 17:00:00,3.9,-7.2,1008.8,190.0,4.6,1,12,17
543.0,2016-01-12 18:00:00,5.6,-7.2,1006.6,210.0,5.7,1,12,18
578.0,2016-01-12 19:00:00,5.6,-6.1,1004.7,200.0,5.1,1,12,19
513.0,2016-01-12 20:00:00,5.6,-6.1,1004.7,240.0,11.3,1,12,20
462.0,2016-01-12 21:00:00,2.8,-2.2,1004.6,260.0,4.1,1,12,21
523.0,2016-01-12 22:00:00,2.8,-2.2,1004.0,0.0,0.0,1,12,22
453.0,2016-01-12 23:00:00,1.1,-2.8,1003.8,0.0,0.0,1,12,23
462.0,2016-01-13 00:00:00,2.8,-4.4,1003.6,240.0,1.5,1,13,0
506.0,2016-01-13 01:00:00,0.6,-3.9,1016.2941885647716,290.0,7.7,1,13,1
453.0,2016-01-13 02:00:00,0.0,-3.3,1006.0,290.0,5.7,1,13,2
436.0,2016-01-13 03:00:00,-1.1,-8.9,1006.8,300.0,9.8,1,13,3
460.0,2016-01-13 04:00:00,-2.2,-12.2,1008.7,280.0,8.2,1,13,4
395.0,2016-01-13 05:00:00,-3.3,-13.9,1009.4,290.0,6.7,1,13,5
420.0,2016-01-13 06:00:00,-4.4,-13.9,1010.0,280.0,6.2,1,13,6
442.0,2016-01-13 07:00:00,-4.4,-13.9,1011.1,280.0,6.2,1,13,7
408.0,2016-01-13 08:00:00,-5.0,-13.9,1012.5,270.0,5.7,1,13,8
449.0,2016-01-13 09:00:00,-5.6,-13.9,1013.4,270.0,5.7,1,13,9
478.0,2016-01-13 10:00:00,-6.1,-13.9,1014.2,270.0,5.7,1,13,10
398.0,2016-01-13 11:00:00,-6.1,-13.9,1015.2,270.0,4.6,1,13,11
441.0,2016-01-13 12:00:00,-6.7,-13.9,1016.1,270.0,5.7,1,13,12
480.0,2016-01-13 13:00:00,-6.7,-13.9,1017.2,250.0,5.1,1,13,13
448.0,2016-01-13 14:00:00,-6.1,-13.9,1017.9,260.0,6.2,1,13,14
474.0,2016-01-13 15:00:00,-5.6,-13.9,1018.3,270.0,6.7,1,13,15
488.0,2016-01-13 16:00:00,-4.4,-15.0,1018.1,280.0,7.7,1,13,16
437.0,2016-01-13 17:00:00,-3.3,-14.4,1017.0,320.0,8.8,1,13,17
486.0,2016-01-13 18:00:00,-2.8,-15.0,1016.0,300.0,6.2,1,13,18
504.0,2016-01-13 19:00:00,-2.8,-15.0,1015.3,310.0,6.2,1,13,19
